"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2017-10079-15/08/2019","01",1,"SA","Motor Cycle","2013","South East","Male","035","SA","MRR ","Full","Not Towing","Straight Ahead","001","5092","Y",
"2017-10080-15/08/2019","01",1,"SA","Station Wagon","2001","North","Male","033","SA","C ","Full","Not Towing","Stopped on Carriageway","002","5031",,
"2017-10080-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2017-10081-15/08/2019","01",0,"SA","Motor Cars - Sedan","2007","East","Female","024","O/S","C ","Full","Not Towing","Straight Ahead","001","5073",,
"2017-10081-15/08/2019","02",0,"SA","Utility","2014","West","Male","044","SA","C ","Full","Not Towing","Right Turn","001","5154",,
"2017-10082-15/08/2019","01",1,"SA","Motor Cycle","1994","South East","Male","037","SA","C ","Unlicenced","Not Towing","Straight Ahead","001","5108",,
"2017-10082-15/08/2019","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2017-10083-15/08/2019","01",0,"SA","Station Wagon","2017","South","Female","046","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5158",,
"2017-10083-15/08/2019","02",0,"SA","Other Defined Special Vehicle","2005","South","Male","036","SA","HR","Full","Not Towing","Overtaking - on Left","001","5162",,
"2017-10084-15/08/2019","01",0,"SA","Motor Cars - Sedan","2011","South","Female","056","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5159",,
